0.0215,0.12,0.55
0.0215,0.12,0.597368
0.0215,0.12,0.628947
0.0215,0.12,0.676316
0.0215,0.12,0.723684
0.0215,0.12,0.771053
0.0215,0.12,0.802632
0.0215,0.12,0.85
0.0215,0.127778,0.55
0.0215,0.127778,0.597368
0.0215,0.127778,0.628947
0.0215,0.127778,0.676316
0.0215,0.127778,0.723684
0.0215,0.127778,0.771053
0.0215,0.127778,0.802632
0.0215,0.127778,0.85
0.0215,0.135556,0.55
0.0215,0.135556,0.597368
0.0215,0.135556,0.628947
0.0215,0.135556,0.676316
0.0215,0.135556,0.723684
0.0215,0.135556,0.771053
0.0215,0.135556,0.802632
0.0215,0.135556,0.85
0.0215,0.147222,0.55
0.0215,0.147222,0.597368
0.0215,0.147222,0.628947
0.0215,0.147222,0.676316
0.0215,0.147222,0.723684
0.0215,0.147222,0.771053
0.0215,0.147222,0.802632
0.0215,0.147222,0.85
0.0215,0.155,0.55
0.0215,0.155,0.597368
0.0215,0.155,0.628947
0.0215,0.155,0.676316
0.0215,0.155,0.723684
0.0215,0.155,0.771053
0.0215,0.155,0.802632
0.0215,0.155,0.85
0.022,0.12,0.55
0.022,0.12,0.597368
0.022,0.12,0.628947
0.022,0.12,0.676316
0.022,0.12,0.723684
0.022,0.12,0.771053
0.022,0.12,0.802632
0.022,0.12,0.85
0.022,0.127778,0.55
0.022,0.127778,0.597368
0.022,0.127778,0.628947
0.022,0.127778,0.676316
0.022,0.127778,0.723684
0.022,0.127778,0.771053
0.022,0.127778,0.802632
0.022,0.127778,0.85
0.022,0.135556,0.55
0.022,0.135556,0.597368
0.022,0.135556,0.628947
0.022,0.135556,0.676316
0.022,0.135556,0.723684
0.022,0.135556,0.771053
0.022,0.135556,0.802632
0.022,0.135556,0.85
0.022,0.147222,0.55
0.022,0.147222,0.597368
0.022,0.147222,0.628947
0.022,0.147222,0.676316
0.022,0.147222,0.723684
0.022,0.147222,0.771053
0.022,0.147222,0.802632
0.022,0.147222,0.85
0.022,0.155,0.55
0.022,0.155,0.597368
0.022,0.155,0.628947
0.022,0.155,0.676316
0.022,0.155,0.723684
0.022,0.155,0.771053
0.022,0.155,0.802632
0.022,0.155,0.85
0.0225,0.12,0.55
0.0225,0.12,0.597368
0.0225,0.12,0.628947
0.0225,0.12,0.676316
0.0225,0.12,0.723684
0.0225,0.12,0.771053
0.0225,0.12,0.802632
0.0225,0.12,0.85
0.0225,0.127778,0.55
0.0225,0.127778,0.597368
0.0225,0.127778,0.628947
0.0225,0.127778,0.676316
0.0225,0.127778,0.723684
0.0225,0.127778,0.771053
0.0225,0.127778,0.802632
0.0225,0.127778,0.85
0.0225,0.135556,0.55
0.0225,0.135556,0.597368
0.0225,0.135556,0.628947
0.0225,0.135556,0.676316
0.0225,0.135556,0.723684
0.0225,0.135556,0.771053
0.0225,0.135556,0.802632
0.0225,0.135556,0.85
0.0225,0.147222,0.55
0.0225,0.147222,0.597368
0.0225,0.147222,0.628947
0.0225,0.147222,0.676316
0.0225,0.147222,0.723684
0.0225,0.147222,0.771053
0.0225,0.147222,0.802632
0.0225,0.147222,0.85
0.0225,0.155,0.55
0.0225,0.155,0.597368
0.0225,0.155,0.628947
0.0225,0.155,0.676316
0.0225,0.155,0.723684
0.0225,0.155,0.771053
0.0225,0.155,0.802632
0.0225,0.155,0.85
0.023,0.12,0.55
0.023,0.12,0.597368
0.023,0.12,0.628947
0.023,0.12,0.676316
0.023,0.12,0.723684
0.023,0.12,0.771053
0.023,0.12,0.802632
0.023,0.12,0.85
0.023,0.127778,0.55
0.023,0.127778,0.597368
0.023,0.127778,0.628947
0.023,0.127778,0.676316
0.023,0.127778,0.723684
0.023,0.127778,0.771053
0.023,0.127778,0.802632
0.023,0.127778,0.85
0.023,0.135556,0.55
0.023,0.135556,0.597368
0.023,0.135556,0.628947
0.023,0.135556,0.676316
0.023,0.135556,0.723684
0.023,0.135556,0.771053
0.023,0.135556,0.802632
0.023,0.135556,0.85
0.023,0.147222,0.55
0.023,0.147222,0.597368
0.023,0.147222,0.628947
0.023,0.147222,0.676316
0.023,0.147222,0.723684
0.023,0.147222,0.771053
0.023,0.147222,0.802632
0.023,0.147222,0.85
